lane_id	source_center	destination_center	route_type	week_start	segment_count	trip_count	avg_delay_minutes	prior_week_avg_delay_minutes	wow_avg_delay_change_minutes	sla_breach_rate_pct	prior_week_sla_breach_rate_pct	wow_sla_breach_rate_change_pct
IND360003AAA -> IND360311AAA | Carting	IND360003AAA	IND360311AAA	Carting	2018-09-24	4	1	6	5.25	0.75	25.00	25.00	0.00
IND360311AAA -> IND360050AAA | Carting	IND360311AAA	IND360050AAA	Carting	2018-09-24	5	1	3.6	NULL	NULL	0.00	NULL	NULL
IND360370AAA -> IND360410AAA | FTL	IND360370AAA	IND360410AAA	FTL	2018-09-10	1	1	19	NULL	NULL	100.00	NULL	NULL
IND360410AAA -> IND360490AAA | FTL	IND360410AAA	IND360490AAA	FTL	2018-09-10	1	1	27	NULL	NULL	100.00	NULL	NULL
IND360410AAA -> IND360490AAA | FTL	IND360410AAA	IND360490AAA	FTL	2018-10-01	1	1	22	27	-5	100.00	100.00	0.00
IND360490AAA -> IND362001AAA | FTL	IND360490AAA	IND362001AAA	FTL	2018-09-10	4	2	17.75	NULL	NULL	75.00	NULL	NULL
IND360490AAA -> IND362001AAA | FTL	IND360490AAA	IND362001AAA	FTL	2018-09-17	6	3	24.5	17.75	6.75	83.33	75.00	8.33
IND360490AAA -> IND362001AAA | FTL	IND360490AAA	IND362001AAA	FTL	2018-09-24	8	4	37.25	24.5	12.75	75.00	83.33	-8.33
IND360490AAA -> IND362001AAA | FTL	IND360490AAA	IND362001AAA	FTL	2018-10-01	2	1	24.5	37.25	-12.75	50.00	75.00	-25.00
IND360510AAB -> IND360530AAB | Carting	IND360510AAB	IND360530AAB	Carting	2018-09-10	4	2	4.5	NULL	NULL	0.00	NULL	NULL
IND360510AAB -> IND360530AAB | Carting	IND360510AAB	IND360530AAB	Carting	2018-09-17	12	4	8.42	4.5	3.92	33.33	0.00	33.33
IND360510AAB -> IND360530AAB | Carting	IND360510AAB	IND360530AAB	Carting	2018-09-24	15	5	4.07	8.42	-4.35	20.00	33.33	-13.33
IND360510AAB -> IND360530AAB | Carting	IND360510AAB	IND360530AAB	Carting	2018-10-01	6	2	5	4.07	0.93	16.67	20.00	-3.33
IND360530AAB -> IND362001AAA | Carting	IND360530AAB	IND362001AAA	Carting	2018-09-10	22	4	22.09	NULL	NULL	40.91	NULL	NULL
IND360530AAB -> IND362001AAA | Carting	IND360530AAB	IND362001AAA	Carting	2018-09-17	27	4	6.89	22.09	-15.2	22.22	40.91	-18.69
IND360530AAB -> IND362001AAA | Carting	IND360530AAB	IND362001AAA	Carting	2018-09-24	35	5	9.69	6.89	2.8	25.71	22.22	3.49
IND360530AAB -> IND362001AAA | Carting	IND360530AAB	IND362001AAA	Carting	2018-10-01	14	2	10	9.69	0.31	50.00	25.71	24.29
